idx,batch,type,class,priority,english,garo,confidence,discrepancy_codes,discrepancy_detail,nv_refs,rule_refs,owner_directive,native_cited
0,1,PHRASE,A,P2,one dog,achak mang·sa,superseded,D3;D2,"1 other record(s) share identical (english,garo) | 2 distinct English glosses under Garo form 'achak mang·sa'",,,False,False
1,1,PHRASE,A,P2,two birds,do·o mang·gni,unverified,D2,4 distinct English glosses under Garo form 'do·o mang·gni',,,False,False
2,1,PHRASE,A,P2,one person,sa mande·sa,superseded,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'one person',,,False,False
3,1,PHRASE,A,P2,two teachers,skigipa·gni,unverified,D2,4 distinct English glosses under Garo form 'skigipa·gni',,,False,False
4,1,PHRASE,A,P2,one coin,tangka gong·sa,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'one coin' | 2 distinct English glosses under Garo form 'tangka gong·sa',NV-073,,False,True
5,1,PHRASE,A,P2,five rupees,tangka gong·bonga,unverified,D2,3 distinct English glosses under Garo form 'tangka gong·bonga',,,False,False
6,1,PHRASE,A,P2,one book,sa kitab·sa,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'one book' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
7,1,PHRASE,A,P2,three leaves,bijak king·gittam,unverified,D2,2 distinct English glosses under Garo form 'bijak king·gittam',,,False,False
8,1,PHRASE,A,P2,one chair,chokki ge·sa,unverified,D2,2 distinct English glosses under Garo form 'chokki ge·sa',,,False,False
9,1,PHRASE,A,P2,two knives,kettal ge·gni,unverified,D2,2 distinct English glosses under Garo form 'kettal ge·gni',,,False,False
10,1,PHRASE,A,P2,den· (to carry),"den·a (past), den·enga (continuous)",unverified,D2,"2 distinct English glosses under Garo form 'den·a (past), den·enga (continuous)'",,,False,False
11,1,PHRASE,A,P2,cha· (to eat),"cha·a (past), cha·enga (continuous), cha·aha (past alt)",unverified,D2,"2 distinct English glosses under Garo form 'cha·a (past), cha·enga (continuous), cha·aha (past alt)'",,,False,False
12,1,PHRASE,A,P2,re·ang (to go),"re·ang·a (past), re·angenga (continuous)",unverified,D2,"2 distinct English glosses under Garo form 're·ang·a (past), re·angenga (continuous)'",,,False,False
13,1,PHRASE,A,P2,on· (to give),"on·a (past), on·bo (command), on·enga (continuous)",unverified,D2,"2 distinct English glosses under Garo form 'on·a (past), on·bo (command), on·enga (continuous)'",,,False,False
14,1,WORD,A,P2,pineapple,Anaros,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Anaros'",,,False,False
15,1,WORD,A,P2,banana,Te·rik,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Te·rik'",,,False,False
16,1,WORD,A,P1,orange,Narang,verified_high,D3;D6;D1;D2;D7;D4,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct Garo forms under English key 'orange' | 2 distinct English glosses under Garo form 'Narang' | 3 verified_high candidates tied under 'orange' | notes declare SUPERSEDED but confidence field does not read 'superseded'",,,True,False
17,1,WORD,A,P2,guava,Goaba,unverified,D2,2 distinct English glosses under Garo form 'Goaba',,,False,False
18,1,WORD,A,P2,papaya,Modu,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct Garo forms under English key 'papaya' | 2 distinct English glosses under Garo form 'Modu'",NV-080,,False,False
19,1,WORD,A,P2,jackfruit,Te·brong,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Te·brong'",,,False,False
20,1,WORD,A,P2,mango,Te·gachu,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Te·gachu'",,,False,False
21,1,WORD,A,P2,lychee,Letchu,unverified,D2,2 distinct English glosses under Garo form 'Letchu',,,False,False
