cluster_id,normalized_english,row_index,english,garo,confidence,category,pos,classifier,duplicate_kind,notes
"1","one dog","0","one dog","achak mangsa","superseded","animals","","","same-Garo duplicate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'one dog' has VERIFIED/HIGH form(s) ['achak mang·sa']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B. RAKA CORRECTED 2026-09-13 (Project Owner directive, chat): mang classifier does not take a raka dot before the attached number suffix -- corrected 'mang·' -> 'mang' at the classifier-number boundary. Scoped strictly to the noun+mang+suffix classifier composition; unrelated words that happen to contain the substring 'mang·' (e.g. mang·rak·a='healthy/strong', mang·kal·a='annoy') and the bare classifier headword ('animals'='mang·') are untouched."
"1","one dog","2899","one dog","achak mangsa","verified_high","numbers","","","same-Garo duplicate group","VERIFIED/HIGH RAKA CORRECTED 2026-09-13 (Project Owner directive, chat): mang classifier does not take a raka dot before the attached number suffix -- corrected 'mang·' -> 'mang' at the classifier-number boundary. Scoped strictly to the noun+mang+suffix classifier composition; unrelated words that happen to contain the substring 'mang·' (e.g. mang·rak·a='healthy/strong', mang·kal·a='annoy') and the bare classifier headword ('animals'='mang·') are untouched."
"2","two teachers","2","two teachers","skigipa·gni","unverified","numbers","","","multiple-Garo candidate group",""
"2","two teachers","3","two teachers","Skigipa sakgni","verified_high","education","","sak","multiple-Garo candidate group","VERIFIED/HIGH — Project Owner directive (2026-09-16, chat): plural-key parity correction. Flagged by Claude D's forensic audit (confidence:unverified, never audited) as reproducing the same missing-sak-classifier defect shape the Batch 6 deletion family fixed elsewhere -- 'two teachers' shipped 'skigipa·gni' (fused, no classifier) while the exact-key 'two teacher' already carries a VERIFIED/HIGH, natively-relayed form via the sak classifier ('Skigipa sakgni', native relay Thangseng, see the idx-70685 entry's own notes). Garo count nouns don't inflect for English-style plurality the way this key pair implied -- 'Skigipa sakgni' ('teacher' + sak-classifier + two) already covers both readings. Corrected here by direct mechanical parity with the already-verified form, not a new linguistic call."
"3","one coin","4","one coin","tangka gong·sa","superseded","numbers","","","multiple-Garo candidate group","SUPERSEDED — native correction 2026-08-14 (NV-073, Thangseng via Tridip): root was incomplete — 'tangka' and 'bisil' are two separate words that together form the compound root for 'coin'; correct form is 'tangka bisil gong·sa'. Not deleted, retained per citation discipline. See replacement VERIFIED/HIGH entry."
"3","one coin","9009","one coin","tangka bisil gong·sa","verified_high","numbers","","gong","multiple-Garo candidate group","VERIFIED/HIGH — native relay (Thangseng, via Tridip/WhatsApp, Project Owner-relayed 2026-08-14, NV-073): compound root 'tangka bisil' + gong classifier (raka dot between classifier and suffix). 1-20 mechanically built from the count=1 citation form using the already-VERIFIED NUMBERS suffix table (sa/gni/gittam/bri/bonga/dok/sni/chet/sku/chiking, Chi·sa...Chi·sku, Kolgrik), same NOUN+CLASSIFIER+NUMBER-SUFFIX formula and per-classifier raka behavior already confirmed for person/tree/apple/book/teacher. Root correction: 'tangka' and 'bisil' are two separate words forming the compound root for 'coin' (Thangseng, NV-073, 2026-08-14: 'tangka bisil gong·sa' = 'a coin'), replacing the incomplete 'tangka'-only root used in prior entries (now SUPERSEDED). 'gong' classifier (money) already settled/VERIFIED via 'tangka gong·N' money-counting entries; same classifier+raka behavior retained, root corrected."
"4","pineapple","13","pineapple","Anaros","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'pineapple' has VERIFIED/HIGH form(s) ['a·na·ros']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"4","pineapple","2936","Pineapple","a·na·ros","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"5","banana","14","banana","Te·rik","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'banana' has VERIFIED/HIGH form(s) ['te·rik']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"5","banana","2571","Banana","te·rik","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
